CMTE_ID,CMTE_NM,CMTE_TP,CMTE_CITY,CMTE_ST,CMTE_ZIP,CMTE_DSGN,CMTE_PTY_AFFILIATION,ORG_TP,CONNECTED_ORG_NM,CAND_ID
C00008227,ARIZONA REPUBLICAN PARTY,Y,PHOENIX,AZ,85016,U,REP,,WIN IN 2018,
C00033795,AZ COTTON GROWERS ASSOCATION,Q,TEMPE,AZ,85284,U,NAT,T,AZ COTTON GROWERS ASSOCATION,
C00038927,SUPIMA POLITICAL ACTION COMMITTEE-SUPAC,Q,TEMPE,AZ,85284,U,NAT,T,,
C00039941,ARIZONA BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,Q,PHOENIX,AZ,85003,U,UNK,T,ARIZONA BANKERS ASSOCIATION,
C00041590,"ASSOCIATION OF AMERICAN PHYSICIANS AND SURGEONS, INC. POLITICAL ACTION COMMITTEE (AAPS-PAC)",Q,TUCSON,AZ,85716,U,UNK,M,"ASSOCIATION OF AMERICAN PHYSICIANS AND SURGEONS, INC.",
C00136838,AGPAC OF THE ARIZONA FARM BUREAU FEDERATION,Q,GILBERT,AZ,85296,U,NAT,M,ARIZONA FARM BUREAU FEDERATION,
C00166710,ARIZONA DEMOCRATIC PARTY,Y,PHOENIX,AZ,85012,U,DEM,,DNC SERVICES CORPORATION / DEMOCRATIC NATIONAL COMMITTEE,
C00251918,PASTOR FOR ARIZONA,H,PHOENIX,AZ,85001,P,DEM,,NONE,H2AZ02055
C00279836,ARIZONA ORTHOPAEDIC SOCIETY POLITIAL ACTION COMMITTEE,N,PHOENIX,AZ,85029,U,NAT,C,,
C00347260,JEFF FLAKE FOR US SENATE INC.,S,PHOENIX,AZ,85020,A,REP,,,S2AZ00141
C00349324,REFORM PARTY 2000 CONVENTION COMMITTEE,Q,TUCSON,AZ,85746,U,REF,,,
C00374058,A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL COMMITTEE,H,TUCSON,AZ,85702,P,DEM,,SAVE OUR HOUSE VICTORY FUND,H2AZ07070
C00385187,YUMA COUNTY REPUBLICIAN CENTRAL COMMITTEE,Y,YUMA,AZ,85364,U,REP,,,
C00412312,PINNACLE PAC,Q,SCOTTSDALE,AZ,85262,U,OTH,,,H6CA48039
C00461806,PAUL GOSAR FOR CONGRESS,H,PRESCOTT,AZ,86302,P,REP,,PROTECTING AMERICA UNDER LAW PAC,H0AZ01259
C00462432,JIM WARD FOR CONGRESS,H,SCOTTSDALE,AZ,852550164,P,REP,,NONE,H0AZ05078
C00495986,KIRK ADAMS FOR CONGRESS,H,CHANDLER,AZ,85226,P,REP,,,H2AZ06148
C00497404,WENONA FOR ARIZONA,H,TUCSON,AZ,85714,P,DEM,,,H2AZ01271
C00497628,GRANTHAM FOR CONGRESS,H,TEMPE,AZ,852810009,P,REP,,NONE,H2AZ06155
C00506253,GOULD FOR CONGRESS ,H,LAKE HAVASU CITY ,AZ,864053145,P,REP,,,H2AZ04135
C00508804,SINEMA FOR ARIZONA,S,PHOENIX,AZ,85011,P,DEM,,KENNEDY SINEMA VICTORY FUND,S8AZ00197
C00510495,DAVID SCHAPIRA FOR CONGRESS,H,TEMPE,AZ,85282,P,DEM,,,H2AZ09027
C00510958,WENDYROGERS.ORG,H,FLAGSTAFF,AZ,86001,P,REP,,,H2AZ09035
C00512236,MCSALLY FOR CONGRESS,H,TUCSON,AZ,857319128,P,REP,,NONE,H2AZ08102
C00524587,LUIS4USSENATE,S,YUMA,AZ,853646212,P,REP,,,
C00540617,FRIENDS OF DAVID SCHWEIKERT,H,SCOTTSDALE,AZ,85267,P,REP,,TAKE BACK THE HOUSE 2020,H4AZ06045
C00543280,ANDREW WALTER FOR CONGRESS,H,TEMPE,AZ,852840056,P,REP,,,H4AZ09023
C00545731,COMMITTEE TO ELECT JAIME VASQUEZ FOR CONGRESS,H,TUCSON,AZ,85735,P,REP,,,H2AZ07161
C00558627,GALLEGO FOR ARIZONA,H,PHOENIX,AZ,85001,P,DEM,,AUSTIN INNOVATION 2017,H4AZ07043
C00559088,GALLARDO FOR CONGRESS,H,PHOENIX,AZ,85033,P,DEM,,,H4AZ07050
C00571182,GETTING STUFF DONE PAC (GSD-PAC),Q,PHOENIX,AZ,85011,D,DEM,,,
C00572057,KIEHNE FOR CONGRESS,H,EAGAR,AZ,85925,P,REP,,NONE,H4AZ01145
C00572602,DAVE GILES FOR CONGRESS,H,GILBERT,AZ,85295,P,REP,,DAVE GILES FOR CONGRESS,H6AZ09010
C00574350,MELUSKEY FOR US SENATE INC,S,SCOTTSDALE,AZ,85255,P,REP,,,S6AZ00217
C00576066,ELECT MERIDI RICHARDSON BOSLEY PRESIDENT,P,PHOENIX,AZ,85033,P,DEM,,NONE,
