FIPStxt,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,class
12043,12884,2087553927,3783,29.36,6915275,0.33,1416.9,0,0.0,0,0.0,0.0,3783,29.36,6915275,0.33,1416.9,9101,70.64,2080638652,99.67,11.3,-310846009.3636629,-222017446.05883837,-21675382.404740516,26050.192228200965,-18039.994845629342,86.22289198236885,-57.52923697599291,-667.5447024877109,-60.586233905051245,-15.407175738305874,0
12045,15863,1460784877,3635,22.91,7487988,0.51,1257.3,0,0.0,0,0.0,0.0,3635,22.91,7487988,0.51,1257.3,12228,77.09,1453296889,99.49,21.8,-1197562707.0914125,-210840708.9838368,-19152656.97388719,30497.4729229197,-13981.010867212548,-324.8951493736664,-218.22062216227727,-489.06699579444967,-38.23323087100597,-11.536456149723891,4
12047,14799,1330711074,5404,36.52,5682563,0.43,2463.0,0,0.0,0,0.0,0.0,5404,36.52,5682563,0.43,2463.0,9395,63.48,1325028511,99.57,18.4,-1380249757.0421557,-210351616.50654048,-21074297.94244751,32540.637851844665,-16069.574029067697,3237.966679404883,567.2772502102914,-1812.9139075236435,-277.77577482561185,-11.889417213210177,4
26001,10942,1747168145,118,1.08,424118,0.02,720.6,0,0.0,0,0.0,0.0,118,1.08,424118,0.02,720.6,10824,98.92,1746744027,99.98,16.0,-787689072.8937358,-222417995.35177058,-28948879.805531606,27602.659774595373,-13592.82664515901,-702.1649418295967,-578.2155948230743,104.79043487979358,80.140403211833,-17.116318233524698,4
26085,11539,1469481397,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,11539,100.0,1469481397,100.0,20.3,-1180074393.4543545,-218110993.93177313,-28692550.725028582,29475.128801310075,-12351.04049743957,-562.9556029755146,-1113.600625071364,976.4269505279891,218.3147664196683,-12.322919710574554,4
12049,27731,1651849564,14473,52.19,26461758,1.6,1416.6,0,0.0,0,0.0,0.0,14473,52.19,26461758,1.6,1416.6,13258,47.81,1625387806,98.4,21.1,-940528573.5578661,-196033426.71204787,4410134.872737437,33475.67403532162,-18622.09703349559,2034.9578179698678,-155.41732821398782,-471.0810381424604,-109.72690728784062,-7.088741365790351,4
12133,24896,1509453502,3846,15.45,9706690,0.64,1026.2,0,0.0,0,0.0,0.0,3846,15.45,9706690,0.64,1026.2,21050,84.55,1499746812,99.36,36.4,-1130277919.1080825,-209555790.09425643,-16472730.274281539,34165.04777635134,-3533.6911302058165,-1899.7960185824784,-483.5022940054375,-234.77197431936114,-33.6704677755985,-6.280123408396739,4
4001,71518,29001443825,18551,25.94,44457803,0.15,1080.7,0,0.0,0,0.0,0.0,18551,25.94,44457803,0.15,1080.7,52967,74.06,28956986022,99.85,4.7,37722302347.696846,-642849464.0293827,-51047667.25122585,-89323.06089400286,11710.603782571614,-18653.678952814167,-128.98719154383224,-269.1379222361278,-410.9061257130173,36.86821394114661,1
4003,131346,15969063883,83666,63.7,112082073,0.7,1933.4,52745,40.16,78423935,0.49,1741.9,30921,23.54,33658138,0.21,2379.4,47680,36.3,15856981810,99.3,7.8,19246622109.25753,-307398522.6050607,-26763995.488802005,-52414.22082995125,17687.06121094284,9878.141315719207,866.5207840239099,-119.00021868043946,422.52040511295417,-3.0778818832719943,2
4005,134421,48222689085,92124,68.53,123003032,0.26,1939.8,71957,53.53,90199563,0.19,2066.2,20167,15.0,32803469,0.07,1592.3,42297,31.47,48099686053,99.74,2.3,64849251287.58921,-836616258.6670793,-120117186.65733059,-220022.19561673512,-8874.913359316099,-18123.959228456515,2304.602115518732,-28.545811823443806,61.66268445753316,97.03685820071343,3
